Nachname,Anzahl ca.,Häufigkeit %
Müller,747367,0.9342
Schmidt,548948,0.6862
Schneider,340657,0.4258
Fischer,285839,0.3573
Weber,252816,0.3160
Meyer,237803,0.2973
Wagner,234702,0.2934
Becker,213220,0.2665
Schulz,209545,0.2619
Hoffmann,204107,0.2551
Schäfer,179612,0.2245
Bauer,176823,0.2210
Koch,173068,0.2163
Richter,170049,0.2126
Klein,155942,0.1949
Wolf,150086,0.1876
Schröder,142582,0.1782
Neumann,135602,0.1695
Schwarz,129647,0.1621
Braun,124697,0.1559
Hofmann,124568,0.1557
Zimmermann,124147,0.1552
Schmitt,119836,0.1498
Krüger,118064,0.1476
Hartmann,117114,0.1464
Lange,113756,0.1422
Werner,113124,0.1414
Schmitz,111661,0.1396
Schmid,111152,0.1389
Meier,109690,0.1371
Krause,109542,0.1369
Maier,105599,0.1320
Lehmann,105090,0.1314
Huber,98769,0.1235
Köhler,98719,0.1234
Herrmann,98366,0.1230
Schulze,98187,0.1227
Mayer,97893,0.1224
Walter,97698,0.1221
König,96736,0.1209
Kaiser,92852,0.1161
Fuchs,92290,0.1154
Lang,89550,0.1119
Peters,86587,0.1082
Weiß,86157,0.1077
Scholz,85642,0.1071
Möller,82694,0.1034
Jung,82002,0.1025
Hahn,77927,0.0974
Keller,77418,0.0968
Schubert,76208,0.0953
Vogel,76167,0.0952
Frank,75570,0.0945
Roth,75225,0.0940
Friedrich,74693,0.0934
Günther,74060,0.0926
Winkler,73398,0.0917
Beck,73375,0.0917
Berger,73222,0.0915
Lorenz,68652,0.0858
Baumann,67339,0.0842
Schuster,63584,0.0795
Kraus,63464,0.0793
Franke,62687,0.0784
Böhm,62675,0.0783
Simon,62134,0.0777
Albrecht,61987,0.0775
Ludwig,61725,0.0772
Winter,61719,0.0771
Martin,60221,0.0753
Krämer,59730,0.0747
Schumacher,59300,0.0741
Jäger,58891,0.0736
Vogt,58544,0.0732
Stein,57125,0.0714
Otto,56507,0.0706
Groß,56213,0.0703
Sommer,55578,0.0695
Haas,54574,0.0682
Graf,53856,0.0673
Heinrich,53747,0.0672
Seidel,53577,0.0670
Schreiber,52803,0.0660
Brandt,52299,0.0654
Ziegler,51314,0.0641
Kuhn,50207,0.0628
Dietrich,50028,0.0625
Schulte,50016,0.0625
Kühn,49304,0.0616
Engel,48830,0.0610
Pohl,47927,0.0599
Horn,47918,0.0599
Sauer,47112,0.0589
Bergmann,46573,0.0582
Busch,46352,0.0579
Thomas,46349,0.0579
Arnold,46246,0.0578
Voigt,45734,0.0572
Seifert,45343,0.0567
Pfeiffer,45199,0.0565
Ernst,45155,0.0564
Lindner,45155,0.0564
Hübner,44693,0.0559
Götz,44678,0.0558
Beyer,44528,0.0557
Franz,44510,0.0556
Kramer,44287,0.0554
Wolff,44254,0.0553
Peter,43513,0.0544
Jansen,43257,0.0541
Wenzel,42877,0.0536
Kern,42771,0.0535
Barth,42603,0.0533
Hermann,42397,0.0530
Paul,42162,0.0527
Ott,41600,0.0520
Riedel,41532,0.0519
Wilhelm,41297,0.0516
Hansen,41229,0.0515
Nagel,40832,0.0510
Grimm,39390,0.0492
Bock,39284,0.0491
Langer,39275,0.0491
Lenz,39158,0.0489
Ritter,39125,0.0489
Mohr,38434,0.0480
Kaufmann,38366,0.0480
Förster,38266,0.0478
Haase,38251,0.0478
Zimmer,38048,0.0476
Jahn,37474,0.0468
Kruse,37451,0.0468
Thiel,37357,0.0467
Hoppe,37145,0.0464
Schumann,37083,0.0464
Lutz,37054,0.0463
Fiedler,37004,0.0463
Kraft,36556,0.0457
Marx,36521,0.0457
Michel,36518,0.0456
Fritz,36244,0.0453
Arndt,36241,0.0453
Petersen,35650,0.0446
Eckert,35241,0.0441
Schütz,35170,0.0440
Walther,35164,0.0440
Berg,34838,0.0435
Schindler,34702,0.0434
Reuter,34532,0.0432
Kunz,34426,0.0430
Schilling,34414,0.0430
Reinhardt,34240,0.0428
Sander,34135,0.0427
Böttcher,33993,0.0425
Thiele,33414,0.0418
Ebert,33328,0.0417
Frey,33249,0.0416
Schramm,32990,0.0412
Hein,32869,0.0411
Voß,32837,0.0410
Fröhlich,32807,0.0410
Gruber,32507,0.0406
Nowak,32448,0.0406
Bayer,32334,0.0404
Hesse,32295,0.0404
Herzog,32166,0.0402
Beckmann,31886,0.0399
Rudolph,31886,0.0399
Maurer,31669,0.0396
Kunze,31416,0.0393
Büttner,31145,0.0389
Stephan,31101,0.0389
Geiger,31086,0.0389
Bender,30715,0.0384
Seitz,30683,0.0384
Behrens,30412,0.0380
Bachmann,30377,0.0380
Gärtner,30356,0.0379
Adam,30177,0.0377
Witt,29968,0.0375
Stahl,29891,0.0374
Scherer,29862,0.0373
Steiner,29706,0.0371
Dietz,29397,0.0367
Kurz,29385,0.0367
Fink,29144,0.0364
Schultz,29120,0.0364
Ullrich,29085,0.0364
Kirchner,28873,0.0361
Löffler,28726,0.0359
Ulrich,28658,0.0358
Brunner,28626,0.0358
Moser,28602,0.0358
Heinz,28438,0.0355
Reichert,28361,0.0355
Brinkmann,27967,0.0350
Breuer,27876,0.0348
Gerlach,27843,0.0348
Blum,27823,0.0348
Schwab,27693,0.0346
