patronyme,count
MARTIN,31781
BERNARD,16475
THOMAS,14396
DURAND,13901
ROBERT,13786
PETIT,13772
RICHARD,13234
DUBOIS,12951
MOREAU,12509
GARCIA,11966
MICHEL,11732
SIMON,11643
LAURENT,11577
ROUX,10311
LEROY,9840
LEFEBVRE,9773
DAVID,9424
MARTINEZ,9392
BERTRAND,9376
GIRARD,9288
BLANC,9251
BONNET,9141
MOREL,8961
FOURNIER,8885
LAMBERT,8737
VINCENT,8548
FAURE,8267
ROUSSEAU,8176
DUPONT,8033
FONTAINE,8010
GUERIN,7851
BOYER,7849
ANDRE,7822
GARNIER,7665
MERCIER,7591
MULLER,7439
LEFEVRE,7403
LOPEZ,7386
FRANCOIS,7372
PERRIN,7315
GAUTHIER,7287
CHEVALIER,7236
CLEMENT,7025
GAUTIER,6858
PEREZ,6854
ROBIN,6809
MATHIEU,6736
MORIN,6730
HENRY,6659
SANCHEZ,6626
LEGRAND,6490
NICOLAS,6464
BRUN,6427
VIDAL,6398
ROUSSEL,6387
ARNAUD,6260
DUVAL,6170
GIRAUD,6147
NGUYEN,6128
MASSON,6109
MARCHAND,6094
FABRE,6071
DENIS,5908
BRUNET,5873
MARIE,5803
MEUNIER,5743
NOEL,5728
GAILLARD,5695
MEYER,5681
ROCHE,5673
RIVIERE,5654
DUMONT,5647
FERNANDEZ,5594
DUFOUR,5587
BLANCHARD,5553
RENARD,5383
LUCAS,5373
BARBIER,5364
LEMAIRE,5323
GERARD,5237
JOLY,5232
DUMAS,5226
AUBERT,5225
ROY,4951
LACROIX,4869
PICARD,4861
DA SILVA,4827
ROGER,4826
JEAN,4780
LEROUX,4776
COLIN,4758
REY,4742
ROLLAND,4736
RENAUD,4734
RODRIGUEZ,4688
OLIVIER,4678
PIERRE,4672
COHEN,4662
LEMOINE,4601
BENOIT,4564
SCHMITT,4515
BOURGEOIS,4448
DUPUY,4397
BERGER,4352
CARON,4298
PHILIPPE,4273
LECLERC,4244
MARTY,4232
GUILLAUME,4194
HUBERT,4169
GUILLOT,4140
LOUIS,4096
MOULIN,4019
LECOMTE,3924
GONZALEZ,3912
PAYET,3887
LEVY,3872
ADAM,3828
DESCHAMPS,3808
HUET,3807
JACQUET,3758
CHARLES,3730
PARIS,3707
BARON,3699
DUPUIS,3656
GUYOT,3623
JULIEN,3614
FLEURY,3574
POIRIER,3557
LECLERCQ,3555
ROYER,3541
PEREIRA,3537
CARRE,3509
CARPENTIER,3507
BAILLY,3497
GOMEZ,3484
BERTIN,3483
BOUVIER,3466
RENAULT,3456
CHARPENTIER,3451
MENARD,3442
PONS,3440
BESSON,3436
BOUCHER,3434
KLEIN,3431
MILLET,3429
FERREIRA,3420
AUBRY,3412
PERRIER,3398
MAILLARD,3383
GERMAIN,3378
COLLET,3376
LEGER,3316
HERVE,3277
SCHNEIDER,3238
DANIEL,3215
LE GALL,3149
REYNAUD,3149
DOS SANTOS,3135
MALLET,3125
PELLETIER,3106
PERROT,3105
HERNANDEZ,3090
BRETON,3086
LANGLOIS,3069
VASSEUR,3059
BARRE,3058
MICHAUD,3034
PREVOST,3031
REMY,3010
LEVEQUE,2984
GUICHARD,2980
RODRIGUES,2979
BOUCHET,2970
CHEVALLIER,2963
BOUSQUET,2958
CHAUVIN,2952
JACOB,2948
GROS,2947
RUIZ,2947
ETIENNE,2946
WEBER,2941
MONNIER,2941
PERRET,2940
GILLET,2933
MARCHAL,2918
COUSIN,2914
LEBLANC,2913
COLLIN,2904
TESSIER,2884
LEBRUN,2874
ROSSI,2859
LAPORTE,2840
LE ROUX,2836
GAY,2833
LE GOFF,2831
DELMAS,2810
BARTHELEMY,2789
PASCAL,2780
FERNANDES,2779
HAMON,2771
BOULANGER,2761
POULAIN,2755
RAYNAUD,2749
ALEXANDRE,2735
COSTE,2735
VERDIER,2700
GONCALVES,2686
GILBERT,2686
BUISSON,2679
LAMY,2679
ANTOINE,2672
MARECHAL,2668
ALBERT,2660
BENARD,2645
MAURY,2620
PASQUIER,2610
LEMAITRE,2602
MARIN,2601
PICHON,2598
CORDIER,2589
RAYMOND,2586
LACOMBE,2582
DELAUNAY,2549
HUMBERT,2547
BESNARD,2545
PAUL,2542
TRAN,2538
HOARAU,2535
IMBERT,2529
COULON,2519
JOUBERT,2509
NAVARRO,2498
OLLIVIER,2494
LEJEUNE,2483
BARBE,2476
BLANCHET,2469
MASSE,2468
LEGROS,2457
DELORME,2456
VOISIN,2455
FERRAND,2446
GEORGES,2441
JOURDAN,2437
PAGES,2429
JACQUES,2426
DIDIER,2425
CHAUVET,2424
BRIAND,2399
SEGUIN,2397
MARTEL,2394
GRONDIN,2386
GUILLON,2379
GREGOIRE,2378
GIMENEZ,2373
HEBERT,2372
CAMUS,2372
LESAGE,2367
GAUDIN,2357
CHARRIER,2351
BRUNEL,2338
VALLEE,2323
GUILLOU,2307
VALENTIN,2301
JOSEPH,2297
LACOSTE,2296
HARDY,2289
MARTINS,2285
PINEAU,2285
LELIEVRE,2279
LAUNAY,2269
LOMBARD,2267
LEDUC,2251
LAGARDE,2250
BIGOT,2249
LEBRETON,2248
BODIN,2247
CARLIER,2246
THIBAULT,2245
ALLARD,2239
CLERC,2229
COURTOIS,2225
MARION,2224
GUILLET,2223
COLAS,2211
MAHE,2208
MARY,2201
MAILLOT,2201
BERTHELOT,2199
DEVAUX,2185
COSTA,2184
FAVRE,2183
REGNIER,2177
SERRE,2176
DIALLO,2170
BONNEAU,2165
GILLES,2165
COUTURIER,2157
LENOIR,2154
BRUNEAU,2147
CROS,2143
SAUVAGE,2136
VALETTE,2107
MORVAN,2098
LAINE,2094
VIAL,2092
DA COSTA,2087
MERLE,2079
WEISS,2077
LAFON,2067
GUIBERT,2065
LEGENDRE,2062
BLONDEL,2060
TANGUY,2059
GODARD,2058
ROUSSET,2045
RIOU,2035
MAURIN,2035
LEBON,2035
TEXIER,2030
BOUTIN,2029
MORENO,2027
LABORDE,2026
MAURICE,2021
ROCHER,2016
DELATTRE,2003
LAROCHE,2002
DUPRE,1995
ANDRIEU,1992
CHARTIER,1989
DIAZ,1983
MAUREL,1982
GRENIER,1979
ALLAIN,1975
BLIN,1967
MAILLET,1963
SABATIER,1962
LOISEAU,1962
LEFORT,1959
LEMONNIER,1959
BAUDRY,1956
BOURDON,1955
WAGNER,1950
CHAUVEAU,1944
GUILBERT,1936
TOUSSAINT,1932
DELAGE,1931
VALLET,1926
MARQUES,1919
BONNIN,1895
VAILLANT,1893
LOPES,1890
FISCHER,1885
ROSSIGNOL,1884
BAZIN,1882
PELTIER,1879
LABBE,1874
PARENT,1872
AUGER,1860
GUYON,1856
JACQUOT,1850
PUJOL,1846
POTTIER,1837
GRAS,1834
RICARD,1834
EVRARD,1830
CHAPUIS,1828
HOAREAU,1828
FAIVRE,1828
TORRES,1825
TURPIN,1820
SALMON,1819
LECONTE,1817
CHAMBON,1812
NORMAND,1811
MARTINEAU,1806
FOUCHER,1800
DELAHAYE,1798
BOUVET,1798
BERTHIER,1797
ROQUES,1796
MARTINET,1794
GOMES,1794
MAS,1786
PONCET,1782
CHARBONNIER,1779
BAUER,1776
BECKER,1771
BLOT,1758
COMBES,1758
DUHAMEL,1755
GUY,1755
CASTEL,1748
DUCLOS,1745
DESCAMPS,1735
BONHOMME,1733
BESSE,1731
NEVEU,1728
PRAT,1721
GRAND,1721
RIGAUD,1717
HAMEL,1716
PETITJEAN,1716
FAVIER,1711
FERRE,1710
GIRAULT,1702
BERNIER,1702
PERON,1694
COMTE,1693
FOUQUET,1685
CHRETIEN,1676
STEPHAN,1675
POTIER,1673
GRANGE,1671
RIBEIRO,1670
LECOQ,1670
HOFFMANN,1666
MACE,1663
MOUNIER,1663
ALVES,1659
GERVAIS,1650
CORNU,1646
SAMSON,1644
