prenom,sum
JEAN,610184
MARIE,417607
PIERRE,306232
MICHEL,275678
CLAUDE,209500
ANDRE,207781
JACQUES,170488
LOUIS,159379
ALAIN,153318
PHILIPPE,152856
BERNARD,150715
FRANCOIS,147682
RENE,143524
PAUL,138239
DANIEL,125906
HENRI,123219
CHRISTIAN,120624
MARCEL,119240
GEORGES,118135
JOSEPH,117082
GERARD,116928
ROBERT,116776
ROGER,107983
PATRICK,105836
DOMINIQUE,102694
MAURICE,91087
YVES,88489
MARC,86332
GUY,83585
CHRISTOPHE,80320
ERIC,76752
PASCAL,76471
FRANCOISE,76362
LAURENT,75947
RAYMOND,72327
CHARLES,71241
FREDERIC,70596
ANNE,70450
THIERRY,69858
CATHERINE,69665
NICOLAS,69168
ISABELLE,64561
OLIVIER,64338
DAVID,63909
STEPHANE,63879
SERGE,63031
JEANNE,60363
DIDIER,59376
ALBERT,59188
ANTOINE,59175
NATHALIE,58841
MONIQUE,57888
LUCIEN,57268
JULIEN,56752
SYLVIE,56603
CHRISTINE,56247
BRUNO,54840
SEBASTIEN,52977
GILBERT,51226
JACQUELINE,51031
MARTINE,50629
GILLES,48736
FRANCIS,48683
DENIS,48507
HELENE,48309
NICOLE,47367
VINCENT,46206
ALEXANDRE,45809
EMILE,45799
SOPHIE,43363
THERESE,43110
MICHELE,42346
VALERIE,41223
MOHAMED,40191
FRANCK,39995
JEROME,39879
VERONIQUE,39750
JOEL,39622
ROLAND,38871
JOSE,38763
LUC,38060
CHANTAL,37634
CHRISTIANE,35517
PATRICIA,35143
PATRICE,35138
LOUISE,34942
HERVE,34897
MADELEINE,34846
ANDREE,34679
BRIGITTE,34627
STEPHANIE,34165
SANDRINE,33343
EMMANUEL,33279
ANNIE,33051
SIMONE,33029
GUILLAUME,32794
LAURENCE,32664
CELINE,32492
DENISE,32212
GABRIEL,32018
FERNAND,31156
RENEE,31066
CLAIRE,30971
CAMILLE,29976
SUZANNE,29957
LEON,29563
ELISABETH,29437
CECILE,29191
THOMAS,28972
SYLVAIN,28830
EUGENE,27954
XAVIER,27769
GENEVIEVE,27191
FABRICE,27144
MARIA,26671
DANIELLE,26562
CAROLINE,26463
CORINNE,26347
FLORENCE,26301
YVETTE,26121
COLETTE,25876
VIRGINIE,25712
RICHARD,25272
MARCELLE,25192
YVONNE,24287
BENOIT,24241
VICTOR,24217
JULIE,24210
MANUEL,24027
CEDRIC,23681
PAULETTE,23587
CLAUDINE,23513
JOSETTE,23438
BERNADETTE,23414
NOEL,23406
MARGUERITE,23281
ARNAUD,22707
PASCALE,22623
EMILIE,22568
BEATRICE,22025
GASTON,21941
AURELIE,21834
HUBERT,21610
ROMAIN,21303
ETIENNE,21144
JACKY,21037
LIONEL,20879
AGNES,20868
ANNICK,20793
LUDOVIC,20765
MAXIME,20681
ODETTE,20609
ANTHONY,20548
AUGUSTE,20528
EVELYNE,20478
CHRISTELLE,20418
MATHIEU,20083
EDOUARD,19681
MICKAEL,19476
MIREILLE,18981
ALICE,18939
GISELE,18890
MICHELLE,18870
JULES,18861
NADINE,18695
ADRIEN,18577
YANNICK,18540
DELPHINE,18431
BENJAMIN,18393
RAYMONDE,18206
LUCIE,17990
JEANNINE,17929
FABIEN,17927
KARINE,17920
CAROLE,17869
ODILE,17674
REGIS,17548
LAETITIA,17547
CLEMENT,17495
JOSIANE,17422
ELODIE,17380
JOELLE,17370
BERTRAND,17221
ARMAND,17215
DAMIEN,17109
LAURE,17028
FABIENNE,16973
SIMON,16956
AUDREY,16889
LUCIENNE,16664
ELIANE,16442
MICHAEL,16407
CHARLOTTE,16383
REMY,16382
ANTONIO,16199
ALFRED,16125
DANIELE,15853
GERMAINE,15694
MARIUS,15643
EMMANUELLE,15545
GINETTE,15428
LILIANE,15338
GEORGETTE,15333
KEVIN,15298
RAPHAEL,15169
ALINE,15129
JOCELYNE,15087
CYRIL,14908
JEREMY,14854
EDMOND,14850
HENRIETTE,14785
GREGORY,14707
JEANINE,14664
JONATHAN,14514
SANDRA,14492
LOIC,14486
MARYSE,14324
YVON,14318
PIERRETTE,14191
WILLIAM,14183
ALEXIS,13997
REMI,13986
ALI,13964
AHMED,13913
ROSE,13746
ELIE,13736
YANN,13720
PAULE,13663
MARION,13565
ALEXANDRA,13527
JULIETTE,13403
MYRIAM,13179
BAPTISTE,13148
FRANCINE,13088
PAULINE,12929
FRANCE,12924
MICHELINE,12882
MELANIE,12838
ERNEST,12658
FELIX,12548
MURIEL,12194
SOLANGE,12127
SEVERINE,11985
SARAH,11892
AIME,11888
MAX,11766
